###   ###
অ   AO
ওয়ার্মআপ   OO Y AA R M AA P
ওয়ার্মআপের   OO Y AA R M AA P EH R
ওয়াল   OO Y AA L
ওয়ালপেপার   OO Y AA L P EH P AA R
ওয়ালার   OO Y AA L AA R
ওয়াল্টার   OO Y AA L T AA R
ওয়াল্ড   OO Y AA L D OO
ওয়াশ   OO Y AA SH
ওয়াশিংটনে   OO Y AA SH IH NG T AO N EH
ওয়াসা   OO Y AA SH AA
ওয়াসার   OO Y AA SH AA R
ওয়াসিহ   OO Y AA SH IH HH
ওয়াহর   OO Y AA HH AO R
ওয়াহেদ   OO Y AA HH EH DD
ওয়ে   OO Y EH
ওয়েইনারের   OO Y EH IH N AA R EH R
ওয়েজবোর্ড   OO Y EH JH B OO R D
ওয়েজবোর্ডের   OO Y EH JH B OO R D EH R
ওয়েজেস   OO Y EH JH EH SH
ওয়েন   OO Y EH N
ওয়েনস   OO Y EH N AO SH
ওয়েব   OO Y EH B
ওয়েবপেইজ   OO Y EH B P EH IH JH
ওয়েবপেইজটিকে   OO Y EH B P EH IH JH T IH K EH
ওয়েবভিত্তিক   OO Y EH B BS IH TT TT IH K
ওয়েবসাইট   OO Y EH B SH AAY T
ওয়েবসাইটগুলো   OO Y EH B SH AAY T G UH L OO
ওয়েবসাইটগুলোকে   OO Y EH B SH AAY T G UH L OO K EH
ওয়েবসাইটে   OO Y EH B SH AAY T EH
ওয়েবসাইটের   OO Y EH B SH AAY T EH R
ওয়েভ   OO Y EH BS
ওয়েভফ্রন্টের   OO Y EH BS PS R N T EH R
ওয়েভার   OO Y EH BS AA R
ওয়েল   OO Y EH L
ওয়েলকাম   OO Y EH L K AA M
ওয়েলফেয়ার   OO Y EH L PS EH Y AA R
ওয়েলস   OO Y EH L AO SH
ওয়েলসের   OO Y EH L SH EH R
ওয়েস্ট   OO Y EH SH T OO
ওয়েস্টেকস   OO Y EH SH T EH K SH
ওয়্যার   OO Y JH AA R
ঔদার্য   OU DD AA R JH OO
ঔদার্যকে   OU DD AA R R K EH
ঔদাসীন্যের   OU DD AA SH IH N JH EH R
ঔদ্ধত্যপূর্ণ   OU DD DDS TT TT P UH R N OO
ঔন   OU N OO
ঔর   OU R OO
ঔষধি   OU SH DDS IH
ক   K
কংক্রিটের   K AO NG K R IH T EH R
কংগ্রেস   K AO NG G R EH S
কংগ্রেসম্যান   K AO NG G R EH S M M AA N
কংগ্রেসম্যানদের   K AO NG G R EH S M JH AA N DD EH R
কংগ্রেসের   K AO NG G R EH S EH R
কই   K OO IH
কইছি   K OO IH CHS IH
কইতেছো   K OO IH TT EH CHS OO
কইরা   K OO IH R AA
কইর্যা   K OO IH R JH AA
কইল   K OO IH L OO
কইয়া   K OO IH Y AA
কও   K AO OO
কওমি   K OO M IH
কওমী   K OO M IH
কওয়া   K OO Y AA
ককপিটে   K AO K P IH T EH
কক্ষ   K AO K KS OO
কক্ষগুলো   K AO K KS OO G UH L OO
কক্ষচ্যুত   K AO K KS OO CH UH TT OO
কক্ষপথে   K AO K KS OO P AO TTS EH
কক্ষপথের   K AO K KS OO P AO TTS EH R
কক্ষমুকুল   K AO K KS OO M UH K UH L
কক্ষে   K AO K KS EH
কক্ষেও   K AO K KS EH OO
কক্ষের   K AO K KS EH R
কক্সবাজার   K AO K S B AA Z AA R
কক্সবাজারে   K AO K S B AA Z AA R EH
কক্সবাজারের   K AO K S B AA Z AA R EH R
কখন   K AO KS OO N
কখনও   K AO KS OO N OO
কখনো   K AO KS OO N OO
কখনোই   K AO KS OO N OO IH
কখনোবা   K AO KS OO N OO B AA
কঙ্কা   K AO NG K AA
কঙ্কালসার   K AO NG K AA L SH AA R
কচলানোর   K AO CH L AA N OO R
কচি   K OO CH IH
কচুক্ষেত   K OO CH UH KS EH TT
কচ্ছপ   K AO CH CHS OO P
কচ্ছপই   K AO CH CHS OO P IH
কচ্ছপকে   K AO CH CHS OO P K EH
কচ্ছপটি   K AO CH CHS OO P T IH
কচ্ছপটিকে   K AO CH CHS OO P T IH K EH
কচ্ছপটির   K AO CH CHS OO P T IH R
কচ্ছপের   K AO CH CHS OO P EH R
কজন   K AO JH OO N
কজনই   K AO JH OO N IH
কজনকে   K AO JH OO N K EH
কজনের   K AO JH OO N EH R
কটা   K AO T AA
কটাক্ষ   K AO T AA K KS OO
কটি   K OO T IH
কটুকথা   K OO T UH K AO TTS AA
কটেক্স   K AO T EH K S
কট্টর   K AO T T OO R
কট্টরপন্থা   K AO T T OO R P AO N TTS AA
কট্টরপন্থাই   K AO T T OO R P AO N TTS AA IH
কট্টরপন্থার   K AO T T OO R P AO N TTS AA R
কঠিন   K OO TS IH N
কঠিনতম   K OO TS IH N OO TT AO M OO
কঠিনতম   K OO TS IH N TT AO M OO
কঠোর   K AO TS OO R
কণা   K AO N AA
কণ্টক   K AO N T OO K
কণ্টকশয়নে   K AO N T OO K SH AO Y OO N EH
কণ্টকাকীর্ণ   K AO N T OO K AA K IH R N OO
কণ্ঠ   K AO N TS OO
কণ্ঠরোধ   K AO N TS OO R OO DDS
কণ্ঠশিল্পী   K AO N TS OO SH IH L P IH
কণ্ঠস্বর   K AO N TS OO SH AO R
কণ্ঠে   K AO N TS EH
কণ্ঠের   K AO N TS EH R
কত   K AO TT OO
কতই   K AO TT OO IH
কতক্ষণ   K AO TT OO K KS AO N
কতক্ষণের   K AO TT OO K KS AO N EH R
কতগুলো   K AO TT OO G UH L OO
কতজন   K AO TT OO JH AO N
কতটা   K AO TT OO T AA
কতটি   K AO TT OO T IH
কতটুকু   K AO TT OO T UH K UH
কতদিন   K AO TT OO DD IH N
কতবার   K AO TT OO B AA R
কতবারই   K AO TT OO B AA R IH
কতভাবেই   K AO TT OO BS AA B EHI
কতসব   K AO TT OO SH AO B
কতিপয়   K OO TT IH P AO Y
কতৃক   K OO TT R IH K
কতোটা   K AO TT OO T AA
কত্তো   K AO TT TT OO
কথক   K AO TTS OO K
কথা   K AO TTS AA
কথাই   K TTS AA IH
কথাইওরা   K AO TTS AAY OO R AA
কথাও   K AO TTS AA OO
কথাগুলো   K AO TTS AA G UH L OO
কথাগুলোর   K AO TTS AA G UH L OO R
কথাটা   K AO TTS AA T AA
কথাটায়   K AO TTS AA T AAI 
কথাটি   K AO TTS AA T IH
কথাটির   K AO TTS AA T IH R
কথাতো   K AO TTS AA TT OO
কথাবার্তা   K AO TTS AA B AA R TT AA
কথামতো   K AO TTS AA M AO TT OO
কথামতোই   K AO TTS AA M AO TT OO IH
কথার   K AO TTS AA R
কথারই   K AO TTS AA R IH
কথাসাহিত্যিক   K AO TTS AA SH AA HH IH TT TT IH K
কথাসে   K AO TTS AA SH EH
কথায়   K AO TTS AAI 
কথায়ও   K AO TTS AA Y OO
কথিত   K OO TTS IH TT OO
কথোপকথন   K AO TTS OO P OO K AO TTS OO N
কথোপকথনের   K AO TTS OO P OO K AO TTS OO N EH R
কথ্য   K OO TTS TTS OO
কদবেল   K AO DD B EH L
কদম   K AO DD OO M
কদমতলা   K DD OO M TT AO L AA
কদর   K AO DD OO R
কদাচিত্   K DD AA CH IH TT
কদিন   K OO DD IH N
কনক   K AO N OO K
কনকচাঁপা   K AO N OO K CH AA* P AA
কনকর্ড   K AO N K AO R D
কনকাক্যাফ   K AO N K AA K AA PS
কনজারভেটিভ   K AO N Z AA R BS EH T IH BS
কনট্রাস্ট   K AO N T R AA S T
কনফারেন্সেই   K AO N PS AA R EH N S EHI
কনফার্ম   K AO N PS AA R M
কনফেডারেশনের   K AO N PS EH D AA R EH SH OO N EH R
কনভেনশন   K AO N BS EH N SH AO N
কনভেনশনের   K AO N BS EH N SH AO N EH R
কনভেন্ট   K AO N BS EH N T
কনভেন্টে   K AO N BS EH N T EH
কনভেন্টের   K AO N BS EH N T EH R
কনভেশন   K AO N BS EH SH AO N
কনসার্ট   K AO N S AA R T
কনসার্টে   K AO N S AA R T EH
কনসার্টের   K AO N S AA R T EH R
কনসোর্টিয়াম   K N SH OO R T IH Y AA M
কনসোল   K AO N S OO L
কনস্ট্রাকশন   K AO N S T R AA K SH AO N
কনিষ্ঠতম   K OO N IH SH TS OO TT AO M OO
কনুইয়ে   K OO N UH IH Y EH
কন্ট্রাক্ট   K AO N T R AA K T
কন্ট্রাক্টর   K AO N T R AA K T AO R
কন্ট্রোল   K AO N T R OO L
কন্ট্রোলার   K AO N T R OO L AA R
কন্ট্রোলে   K AO N T R OO L EH
কন্ডিশন   K AO N D IH SH AO N
কন্ডিশনার   K AO N D IH SH AO N AA R
কন্ডিশনে   K AO N D IH SH AO N EH
কন্ডিশনেও   K AO N D IH SH AO N EH OO
কন্তিনি   K OO N TT IH N IH
কন্দজ   K AO N DD OO JH
কন্দ্রাতে   K AO N DD R AA TT EH
কন্নাল   K AO N N AA L
কন্যা   K OO N N AA
কন্যাকে   K OO N N AA K EH
কন্যার   K OO N N AA R
কপাল   K AO P AA L
কপালকুণ্ডলা   K AO P AA L K UH N D OO L AA
কপালটা   K AO P AA L T AA
কপালে   K AO P AA L EH
কপালের   K AO P AA L EH R
কপি   K OO P IH
কপিটি   K AO P IH T IH
কফি   K AO PS IH
কফিনে   K AO PS IH N EH
কবর   K AO B OO R
কবরে   K AO B OO R EH
কবল   K AO B OO L
কবলিত   K AO B OO L IH TT OO
কবলে   K AO B OO L EH
কবি   K OO B IH
কবিতা   K OO B IH TT AA
কবিতাই   K OO B IH TT AA IH
কবিতাও   K OO B IH TT AA OO
কবিতাটা   K OO B IH TT AA T AA
কবিতাটি   K OO B IH TT AA T IH
কবিতার   K OO B IH TT AA R
কবিতারা   K OO B IH TT AA R AA
কবিতায়   K OO B IH TT AAI 
কবিদের   K OO B IH DD EH R
কবির   K OO B IH R
কবিরা   K OO B IH R AA
কবিরাজ   K OO B IH R AA JH
কবিরাজরা   K OO B IH R AA JH R AA
কবিসত্ত্বা   K OO B IH SH AO TT TT AA
কবিসাহিত্যিকদের   K OO B IH SH AA HH IH TT IH K DD EH R
কবীর   K OO B IH R
কবীরের   K OO B IH R EH R
কবুতর   K OO B UH TT OO R
কবে   K AO B EH
কব্জা   K AO B JH AA
কব্জি   K OO B JH IH
কব্জিতে   K OO B JH IH TT EH
কভারে   K AO BS AA R EH
কম   K AO M
কমতে   K OO M TT EH
কমন   K AO M OO N
কমনীয়   K AO M OO N IH Y OO
কমপক্ষে   K AO M P AO K KS EH
কমপ্যাক   K AO M P AA K
কমপ্যাস   K AO M P AA S
কমপ্যাসের   K AO M P AA S EH R
কমপ্লেক্স   K AO M P L EH K S
কমবে   K AO M B EH
কমবেশি   K AO M B EH SH IH
কমব্যাট   K AO M B AA T
কমব্যাটিং   K AO M B AA T IH NG
কমলা   K AO M L AA
কমলাপুর   K AO M L AA P UH R
কমলেও   K AO M L EH OO
কমানো   K OO M AA N OO
কমানোর   K AO M AA N OO R
কমানোসহ   K AO M AA N OO SH AO HH OO
কমান্ড   K AO M AA N D OO
কমান্ডার   K AO M AA N D AA R
কমান্ডারকে   K AO M AA N D AA R K EH
কমান্ডারের   K AO M AA N D AA R EH R
কমাবে   K AO M AA B EH
কমার্শিয়াল   K AO M AA R SH IH Y AA L
কমিউনিকেশন   K AO M IHU N IH K EH SH AO N
কমিউনিকেশনের   K AO M IHU N IH K EH SH AO N EH R
কমিউনিটি   K AO M IHU N IH T IH
কমিউনিস্ট   K AO M IHU N IH S T
কমিটমেন্ট   K AO M IH T M EH N T
কমিটি   K AO M IH T IH
কমিটিও   K AO M IH T IH OO
কমিটিতে   K AO M IH T IH TT EH
কমিটির   K AO M IH T IH R
কমিটেড   K AO M IH T EH D
কমিশন   K AO M IH SH AO N
কমিশনও   K AO M IH SH AO N OO
কমিশনকে   K AO M IH SH AO N K EH
কমিশনার   K AO M IH SH N AA R
কমিশনারদের   K AO M IH SH AO N AA R DD EH R
কমিশনারের   K AO M IH SH AO N AA R EH R
কমিশনে   K AO M IH SH AO N EH
কমিশনের   K AO M IH SH OO N EH R
কমিয়ে   K OO M IH Y EH
কমে   K AO M EH
কমেছে   K OO M EH CHS EH
কমেডি   K AO M EH D IH
কমেডিয়ান   K AO M EH D IH Y AA N
কমের   K AO M EH R
কমোডাসেরও   K AO M OO D AA S EH R OO
কম্পিউটার   K AO M P IHU T AA R
কম্পিউটারকে   K AO M P IHU T AA R K EH
কম্পিউটারগুলো   K AO M P IHU T AA R G UH L OO
কম্পিউটারটি   K AO M P IHU T AA R T IH
কম্পিউটারস   K AO M P IHU T AA R S
কম্পিউটারসামগ্রী   K AO M P IHU T AA R SH AA M OO G R IH
কম্পিউটারাইজ্ড্   K AO M P IHU T AA R AAY JH D
কম্পিউটারে   K AO M P IHU T AA R EH
কম্পিউটারেই   K AO M P IHU T AA R EHI
কম্পিউটারের   K AO M P IHU T AA R EH R
কম্পিউটার্স   K AO M P IHU T AA R S
কম্পিটার   K AO M P IH T AA R
কম্পিত   K OO M P IH TT OO
কম্প্রোমাইজ   K AO M P R OO M AAY Z
কম্বল   K AO M B OO L
কম্বো   K AO M B OO
কর   K AO R
করখেলাপি   K AO R KS EH L AA P IH
করখেলাপিদের   K AO R KS EH L AA P IH DD EH R
করছ   K OO R CHS OO
করছি   K OO R CHS IH
করছিল   K OO R CHS IH L OO
করছিলাম   K OO R CHS IH L AA M
করছিলেন   K OO R CHS IH L EH N
করছে   K OO R CHS EH
করছেন   K OO R CHS EH N
করছো   K OO R CHS OO
করণীয়   K AO R OO N IH Y OO
করত   K OO R TT OO
করতা   K OO R TT AA
করতাম   K OO R TT AA M
করতে   K OO R TT EH
করতেই   K OO R TT EHI
করতেও   K OO R TT EH OO
করতেছে   K OO R TT EH CHS EH
করতেছো   K OO R TT EH CHS OO
করতেন   K OO R TT EH N
করতোয়া   K AO R OO TT OO AA
করন   K AO R OO N
করপোরেট   K AO R P OO R EH T
করপোরেটদের   K AO R P OO R EH T DD EH R
করপোরেশন   K AO R P OO R EH SH AO N
করপোরেশনের   K AO R P OO R EH SH AO N EH R
করপোরেশনেরও   K AO R P OO R EH SH AO N EH R OO
করব   K OO R B OO
করবই   K OO R B OO IH
করবি   K OO R B IH
করবে   K OO R B EH
করবেই   K OO R B EHI
করবেন   K OO R B EH N
করবো   K OO R B OO
করমচা   K AO R OO M CH AA
করল   K OO R L OO
করলাম   K OO R L AA M
করলে   K OO R L EH
করলেই   K OO R L EHI
করলেও   K OO R L EH OO
করলেন   K OO R L EH N
করলো   K OO R L OO
করা   K AO R AA
করাই   K AO R AA IH
করাও   K AO R AA OO
করাকে   AOK R AA K EH
করাচি   K AO R AA CH IH
করাচিতে   K AO R AA CH IH TT EH
করাচির   K AO R AA CH IH R
করাটা   K AO R AA T AA
করাটুকুই   K AO R AA T UH K UH IH
করাতে   K AO R AA TT EH
করাতেন   K AO R AA TT EH N
করান   K AO R AA N
করানো   K AO R AA N OO
করানোর   K AO R AA N OO R
করাবে   K AO R AA B EH
করার   K AO R AA R
করারই   K AO R AA R IH
করারও   K AO R AA R OO
করালে   K AO R AA L EH
করালেন   K AO R AA L EH N
করাসহ   K AO R AA SH AO HH
করায়   K AO R AAI 
করি   K OO R IH
করিও   K OO R IH OO
করিডর   K AO R IH D AO R
করিডোর   K AO R IH D OO R
করিডোরে   K AO R IH D OO R EH
করিডোরের   K AO R IH D OO R EH R
করিতারা   K OO R IH TT AA R AA
করিনি   K OO R IH N IH
করিম   K OO R IH M
করিমের   K OO R IH M EH R
করিস   K OO R IH SH
করিয়াসিয়া   K OO R IH Y AA S IH Y AA
করিয়ে   K OO R IH Y EH
করিয়েছি   K OO R IH Y EH CHS IH
করিয়েছিলেন   K OO R IH Y EH CHS IH L EH N
করিয়েছেন   K OO R IH Y EH CHS EH N
করুক   K OO R UH K
করুণ   K OO R UH N
করুণা   K OO R UH N AA
করুণাও   K OO R UH N AA OO
করুন   K OO R UH N
করে   K AO R EH
করে   K OO R EH
করেই   K OO R EHI
করেএই   K OO R EHI
করেও   K OO R EH OO
করেছ   K OO R EH CHS OO
করেছসে   K OO R EH CHS OO SH EH
করেছি   K OO R EH CHS IH
করেছিল   K OO R EH CHS IH L OO
করেছিলাম   K OO R EH CHS IH L AA M
করেছিলেন   K OO R EH CHS IH L EH N
করেছে   K OO R EH CHS EH
করেছেন   K OO R EH CHS EH N
করেছো   K OO R EH CHS OO
করেদীপা   K OO R EH DD IH P AA
করেন   K AO R EH N
করেননি   K AO R EH N N IH
করেনি   K AO R EH N IH
করেফিরে   K OO R EH PS IH R EH
করেহার   K OO R EH HH AA R
করো   K AO R OO
করোনারি   K AO R OO N AA R IH
কর্ডিয়ালি   K AO R D IH Y AA L IH
কর্ডোবা   K AO R D OO B AA
কর্ণফুলী   K AO R N OO PS UH L IH
কর্তব্য   K AO R TT OO B B OO
কর্তব্যবোধকে   AO R TT OO B B OO B OO DDS K EH
কর্তব্যবোধে   AO R TT OO B B OO B OO DDS EH
কর্তব্যরত   AO R TT OO B B OO R AO TT OO
কর্তা   K AO R TT AA
কর্তার   K AO R TT AA R
কর্তৃক   K OO R TT R IH K
কর্তৃত্ব   K OO R TT R IH TT TT OO
কর্তৃপক্ষ   K OO R TT R IH P AO K KS OO
কর্তৃপক্ষও   K OO R TT R IH P AO K KS OO OO
কর্তৃপক্ষকে   K OO R TT R IH P AO K KS OO K EH
কর্তৃপক্ষকেই   K OO R TT R IH P AO K KS OO K EHI
কর্তৃপক্ষসহ   K OO R TT R IH P AO K KS OO SH AO HH OO
কর্তৃপক্ষের   K OO R TT R IH P AO K KS EH R
কর্ত্রিপক্ষ   K OO R TT R IH P AO K KS OO
কর্নার   K AO R N AA R
কর্নারে   K AO R N AA R EH
কর্নারের   K AO R N AA R EH R
কর্নিয়া   K AO R N IH Y AA
কর্নিয়ার   K AO R N IH Y AA R
কর্নেল   K AO R N EH L
কর্পোরেশনের   K AO R P OO R EH SH AO N EH R
কর্ম   K AO R M OO
কর্মকমিশনের   K AO R M OO K AO M IH SH AO N EH R
কর্মকর্তা   K AO R M OO K AO R TT AA
কর্মকর্তাকর্মচারী   K AO R M OO K AO R TT AA K AO R M OO CH AA R IH
কর্মকর্তাকর্মচারীদের   K AO R M OO K AO R TT AA K AO R M OO CH AA R IH DD EH R
কর্মকর্তাকর্মচারীর   K AO R M OO K AO R TT AA K AO R M OO CH AA R IH R
কর্মকর্তাকে   K AO R M OO K AO R TT AA K EH
কর্মকর্তাদের   K AO R M OO K AO R TT AA DD EH R
কর্মকর্তার   K AO R M OO K AO R TT AA R
কর্মকর্তারা   K AO R M OO K AO R TT AA R AA
কর্মকাণ্ড   K AO R M OO K AA N D OO
কর্মকাণ্ডে   K AO R M OO K AA N D EH
কর্মকাণ্ডের   K AO R M OO K AA N D EH R
কর্মকার   K AO R M OO K AA R
কর্মক্ষেত্রে   K AO R M OO KS EH TT R EH
কর্মক্ষেত্রের   K AO R M OO KS EH TT R EH R
কর্মচারী   K AO R M OO CH AA R IH
কর্মচারীকে   K AO R M OO CH AA R IH K EH
কর্মচারীদের   K AO R M OO CH AA R IH DD EH R
কর্মচারীদেরও   K AO R M OO CH AA R IH DD EH R OO
কর্মচারীর   K AO R M OO CH AA R IH R
কর্মচারীরা   K AO R M OO CH AA R IH R AA
কর্মজীবনের   K AO R M OO JH IH B OO N EH R
কর্মজীবী   K AO R M OO JH IH B IH
কর্মদিবসে   K AO R M OO DD IH B AO SH EH
কর্মপদ্ধতি   K AO R M OO P AO DD DDS OO TT IH
কর্মপরিধি   K AO R M OO P OO R IH DDS IH
কর্মব্যস্ত   K AO R M OO B AE S TT OO
কর্মব্যস্ততার   K AO R M OO B AE S TT OO TT AA R
কর্মরত   K AO R M OO R AO TT OO
কর্মশালা   K AO R M OO SH AA L AA
কর্মশালাটি   K AO R M OO SH AA L AA T IH
কর্মশালার   K AO R M OO AA L AA R
কর্মশালায়   K AO R M OO SH AA L AAI 
কর্মসংস্থানের   K AO R M OO SH AO NG S TTS AA N EH R
কর্মসময়   K AO R M OO SH AO M AO Y
কর্মসময়ের   K AO R M OO SH AO M AO Y EH R
কর্মসূচি   K AO R M OO SH UH CH IH
কর্মসূচিও   K AO R M OO SH UH CH IH OO
কর্মসূচিতে   K AO R M OO SH UH CH IH TT EH
কর্মসূচির   K AO R M OO SH UH CH IH R
কর্মস্থল   K AO R M OO S TTS AO L
কর্মস্থলে   K AO R M OO S TTS AO L EH
কর্মস্থলের   K AO R M OO S TTS AO L EH R
কর্মী   K OO R M IH
কর্মীদের   K OO R M IH DD EH R
কর্মীর   K OO R M IH R
কর্মীরা   K OO R M IH R AA
কর্মে   K AO R M EH
কর্মের   K AO R M EH R
কল   K AO L
কলকাতা   K OO L K AA TT AA
কলকাতার   K OO L K AA TT AA R
কলকাতায়   K OO L K AA TT AAI 
কলকারখানা   K AO L K AA R KS AA N AA
কলঙ্ক   K AO L OO NG K OO
কলতান   K AO L OO TT AA N
কলব্যাক   K AO L B AA K
কলম   K AO L OO M
কলমে   K AO L OO M EH
কলমের   K AO L OO M EH R
কলম্বিয়ার   K AO L OO M B IH Y AA R
কলম্বো   K AO L OO M B OO
কলরব   K AO L OO R AO B
কলরাডো   K AO L OO R AA D OO
কলরাডোয়   K AO L OO R AA D OO Y
কলরাডোয়ও   K AO L OO R AA D OO Y OO
কলহটা   K AO L OO HH OO T AA
কলা   K AO L AA
কলাকুশলী   K AO L AA K UH SH OO L IH
কলাকুশলীদের   K AO L AA K UH SH OO L IH DD EH R
কলাকুশলীরা   K AO L AA K UH SH OO L IH R AA
কলাকৌশল   K AO L AA K OU SH AO L
কলাপসিবল   K AO L AA P S IH B OO L
কলাপুরি   K AO L AA P UH R IH
কলাবতীরাও   K AO L AA B OO TT IH R AA OO
কলাবাগান   K AO L AA B AA G AA N
কলামসমূহের   K AO L AA M SH OO M UH HH EH R
কলামিস্ট   K AO L AA M IH S T
কলামে   K AO L AA M EH
কলামের   K AO L AA M EH R
কলাম্বিয়ান   K AO L AA M B IH Y AA N
কলাম্বিয়ার   K AO L AA M B IHA R
কলার   K AO L AA R
কলিংবেল   K AO L IH NG B EH L
কলিজা   K OO L IH JH AA
কলেজ   K AO L EH JH
কলেজকে   K AO L EH JH K EH
কলেজকেই   K AO L EH JH K EHI
কলেজগামী   K AO L EH JH G AA M IH
কলেজগুলোতে   K AO L EH JH G UH L OO TT EH
কলেজগুলোর   K AO L EH JH G UH L OO R
কলেজগুলোসহ   K AO L EH JH G UH L OO SH AO HH OO
কলেজগুলোয়   K AO L EH JH G UH L OO Y
কলেজছাত্র   K AO L EH JH CHS AA TT R OO
কলেজটা   K AO L EH JH T AA
কলেজপড়ুয়া   K AO L EH JH P OO RH UH AA
কলেজশিক্ষক   K AO L EH JH SH IH K KS OO K
কলেজসমূহে   K AO L EH JH SH OO M UH HH EH
কলেজে   K AO L EH JH EH
কলেজের   K AO L EH JH EH R
কলেবরে   K AO L EH B AO R EH
কলের   K AO L EH R
কলেরা   K AO L EH R AA
কলোনি   K AO L OO N IH
কল্কা   K AO L K AA
কল্পকথা   K AO L P OO K AO TTS AA
কল্পকাহিনীনির্ভর   K AO L P OO K AA HH IH N IH N IH R BS AO R
কল্পনা   K AO L P OO N AA
কল্পনাও   K AO L P OO N AA OO
কল্পনাপ্রসূত   K AO L P OO N AA P R OO SH UH TT OO
কল্পনায়   K AO L P N AAI 
কল্পনায়ও   K AO L P N AA Y OO
কল্পসুখের   K AO L P SH UH KS EH R
কল্যাণ   K OO L L AA N
কল্যাণজি   K OO L L AA N JH IH
কল্যাণপুর   K OO L L AA N P UH R
কল্যাণে   K OO L L AA N EH
কল্যাণেই   K OO L L AA N EHI
কষ   K AO SH
কষলে   K OO SH L EH
কষেছিল   K OO SH EH CHS IH L
কষেছে   K OO SH EH CHS EH
কষ্ট   K AO SH T OO
কষ্টকর   K AO SH T OO K AO R
কষ্টটা   K AO SH T OO T AA
কষ্টবোধ   K AO SH T OO B OO DDS
কষ্টসাধ্য   K AO SH T OO SH AA DD DDS OO
কষ্টে   K AO SH T EH
কষ্টের   K AO SH T EH R
কসমেটিক্স   K AO S M EH T IH K S
কসমেটিক্সের   K AO S M EH T IH K S EH R
কসারিনা   K S AA R IH N AA
কস্টিউম   K AO S T IHU M
কস্তা   K AO S TT AA
কহা   K AO HH AA
কা   K AA
কাঁকড়া   K AA* K RH AA
কাঁচ   K AA* CH
কাঁচা   K AA* CH AA
কাঁচাপাকা   K AA* CH AA P AA K AA
কাঁচাবাজার   K AA* CH AA B AA JH AA R
কাঁচামাল   K AA* CH AA M AA L
কাঁচিকাটা   K AA* CH IH K AA T AA
কাঁটা   K AA* T AA
কাঁটাকে   K AA* T AA K EH
কাঁটাটা   K AA* T AA T AA
কাঁটাতারে   K AA* T AA TT AA R EH
কাঁটার   K AA* T AA R
কাঁটায়   K AA* T AAI 
কাঁঠাল   K AA* TS AA L
কাঁঠালও   K AA* TS AA L OO
কাঁঠালি   K AA* TS AA L IH
কাঁঠালিচাঁপা   K AA* TS AA L IH CH AA* P AA
কাঁঠালের   K AA* TS AA L EH R
কাঁদছিল   K AA* DD CHS IH L OO
কাঁদছেন   K AA* DD CHS EH N
কাঁদতে   K AA* DD TT EH
কাঁদতেও   K AA* DD TT EH OO
কাঁদবে   K AA* DD B EH
কাঁদলাম   K AA* DD L AA M
কাঁদায়   K AA* DD AAI 
কাঁদিছে   K AA* DD IH CHS EH
কাঁদোকাঁদো   K AA* DD OO K AA* DD OO
কাঁধে   K AA* DDS EH
কাঁধেই   K AA* DDS EHI
কাঁপছে   K AA* P CHS EH
কাঁপতে   K AA* P TT EH
কাঁপানো   K AA* P AA N OO
কাঁপানোর   K AA* P AA N OO R
কাঁপে   K AA* P EH
কাঁড়ি   K AA* RH IH
কাইজ্যা   K AAY JH JH AA
কাইন   K AAY N
কাইল্যা   K AAY L L AA
কাইয়ুম   K AAY Y UH M
কাউকে   K AAU K EH
কাউন   K AAU N
কাউন্ট   K AAU N T
কাউন্টার   K AAU N T AA R
কাউন্টারে   K AAU N T AA R EH
কাউন্টি   K AAU N T IH
কাউন্টিতে   K AAU N T IH TT EH
কাউন্টির   K AAU N T IH R
কাউন্টের   K AAU N T EH R
কাউন্টেস   K AAU N T EH S
কাউন্টেসকে   K AAU N T EH S K EH
কাউন্টেসের   K AAU N T EH S EH R
কাউন্সিল   K AAU N S IH L
কাউন্সিলই   K AAU N S IH L IH
কাউন্সিলর   K AAU N S IH L AO R
কাউন্সিলসংক্রান্ত   K AAU N S IH L SH AO NG K R AA N TT OO
কাউন্সিলিং   K AAU N S IH L IH NG
কাউন্সেলিং   K AAU N S EH L IH NG
কাওরিপাড়াসহ   K AA OO R IH P AA RH AA SH AO HH OO
কাওসার   K AA OO S AA R
কাক   K AA K
কাকডাকা   K AA K D AA K AA
কাকপক্ষীও   K AA K P OO K KS IH OO
কাকরাইল   K AA K R AAY L
কাকলসহ   K AA K OO L SH AO HH OO
কাকলি   K AA K OO L IH
কাকলিকে   K AA K OO L IH K EH
কাকা   K AA K AA
কাকাকাকিমা   K AA K AA K AA K IH M AA
কাকিমা   K AA K IH M AA
কাকিমাকাকা   K AA K IH M AA K AA K AA
কাকিমার   K AA K IH M AA R
কাকে   K AA K EH
কাকের   K AA K EH R
কাক্কু   K AA K K UH
কাগজ   K AA G OO JH
কাগজকলম   K AA G OO JH K AO L OO M
কাগজকলমের   K AA G OO JH K AO L OO M EH R
কাগজপত্র   K AA G OO JH P AO TT R OO
কাগজে   K AA G OO JH EH
কাগজের   K AA G OO JH EH R
কাগোশিমা   K AA G OO SH IH M AA
কাঙ্ক্ষিত   K AA NG KS IH TT OO
কাঙ্ক্ষিতটি   K AA NG KS IH TT OO T IH
কাচ   K AA* CH
কাচারিবাড়ি   K AA CH AA R IH B AA RH IH
